kabupaten,tahun,indeks_kemahalan_konstruksi,indeks_pembangunan_manusia,produk_domestik_regional_bruto,persentase_penduduk_miskin,prevalensi_ketidakcukupan_konsumsi_pangan,proporsi_perempuan_melahirkan_anak_pertama_kurang_dari_20_tahun
Kota Tangerang Selatan,2020,103.93,81.36,82531.47,2.29,1.51,0.172
Jembrana,2020,122.49,72.36,13437.61,4.51,6.59,0.272
Tabanan,2020,116.18,76.17,22257.58,4.27,4.12,0.246
Badung,2020,121.15,81.6,49026.03,2.02,2.61,0.09
Gianyar,2020,105.1,77.36,25841.72,4.08,2.03,0.161
Klungkung,2020,111.95,71.73,8450.67,4.87,5.03,0.214
Bangli,2020,113.99,69.36,6716.09,4.19,4.16,0.309
Karangasem,2020,110.22,67.35,16399.77,5.91,6.71,0.315
Buleleng,2020,115.94,72.55,33302.72,5.32,5.47,0.348
Kota Denpasar,2020,119.42,83.93,49607.46,2.14,2.52,0.124
Lombok Barat,2020,96.56,68.2,14567.26,14.28,2.4,0.356
Lombok Tengah,2020,99.07,66.43,16666.62,13.44,3.56,0.379
Lombok Timur,2020,99.21,66.3,20019.04,15.24,3.43,0.303
Sumbawa,2020,94.49,67.61,14446.25,13.65,2.48,0.212
Dompu,2020,93.52,67.84,7064.36,12.16,2.73,0.234
Bima,2020,103.83,66.3,11406.41,14.49,4.03,0.254
Sumbawa Barat,2020,100.44,71.63,22764.2,13.34,0.91,0.203
Lombok Utara,2020,97.33,64.42,4549.1,26.99,3.65,0.379
Kota Mataram,2020,106.56,78.91,18669.61,8.47,1.21,0.273
Kota Bima,2020,100.99,75.81,4133.09,8.35,1.56,0.152
Sumba Barat,2020,101.51,63.53,2351.54,28.17,8.66,0.21
Sumba Timur,2020,101.5,65.52,6254.37,29.65,9.04,0.27
Kupang,2020,88.49,64.32,7637.39,22.77,15.43,0.163
Timor Tengah Selatan,2020,98.12,62.15,7942.76,27.49,14.0,0.243
Timor Tengah Utara,2020,84.9,63.53,4082.27,22.28,13.97,0.28
Belu,2020,85.71,62.68,4549.71,15.37,12.0,0.242
Alor,2020,105.54,61.33,3052.78,21.09,12.87,0.207
Lembata,2020,97.56,64.74,1854.27,26.14,20.04,0.166
Flores Timur,2020,100.72,64.22,5269.53,10.84,15.83,0.167
Sikka,2020,89.07,65.11,5112.02,13.12,16.84,0.165
Ende,2020,92.18,67.04,6075.21,23.76,12.73,0.141
Ngada,2020,101.49,67.88,3493.66,12.51,8.93,0.112
Manggarai,2020,115.74,64.54,4646.21,20.34,11.11,0.201
Rote Ndao,2020,101.18,62.39,3169.43,27.54,16.95,0.265
Manggarai Barat,2020,96.82,63.89,3519.37,17.71,9.9,0.249
Sumba Tengah,2020,101.95,61.53,1195.86,34.49,10.94,0.168
Sumba Barat Daya,2020,102.6,62.28,3769.1,28.0,10.5,0.205
Nagekeo,2020,92.02,65.81,2271.91,12.61,11.95,0.103
Manggarai Timur,2020,102.76,60.85,3288.77,26.52,13.52,0.231
Sabu Raijua,2020,117.51,57.02,1414.52,30.18,11.43,0.263
Malaka,2020,85.65,60.21,2832.65,16.04,15.42,0.308
Kota Kupang,2020,99.81,79.71,23913.11,8.96,12.58,0.202
Sambas,2020,111.2,67.03,20669.99,7.7,21.27,0.224
Bengkayang,2020,113.86,67.87,8672.73,6.62,21.01,0.258
Landak,2020,113.62,65.98,10739.19,11.12,24.23,0.471
Mempawah,2020,107.91,65.74,8545.29,4.95,20.71,0.335
Sanggau,2020,113.74,65.77,19921.37,4.46,24.52,0.408
Ketapang,2020,105.25,67.17,28105.9,10.29,20.4,0.399
Sintang,2020,114.15,66.88,14711.07,9.27,23.36,0.388
Kapuas Hulu,2020,123.34,65.69,10273.88,8.99,23.87,0.399
Sekadau,2020,107.05,64.76,6568.79,5.87,22.21,0.372
Melawi,2020,113.8,65.55,5232.21,12.04,26.96,0.397
Kayong Utara,2020,110.36,62.68,4206.76,9.56,19.17,0.368
Kubu Raya,2020,103.63,67.95,28930.52,4.42,19.33,0.286
Kota Pontianak,2020,104.59,79.44,37648.51,4.7,9.47,0.134
Kota Singkawang,2020,111.95,71.94,10126.22,4.53,8.69,0.217
Kotawaringin Barat,2020,96.82,72.87,20521.9,3.59,9.36,0.336
Kotawaringin Timur,2020,101.05,71.31,26996.33,5.62,10.62,0.391
Kapuas,2020,94.1,69.48,16565.14,5.04,15.4,0.357
Barito Selatan,2020,99.72,70.22,6277.92,4.45,10.98,0.444
Barito Utara,2020,100.19,70.59,9391.71,5.17,11.34,0.372
Sukamara,2020,105.68,68.03,4421.5,3.23,6.77,0.425
Lamandau,2020,101.34,70.51,5773.83,3.09,5.52,0.32
Seruyan,2020,101.67,67.58,8768.55,6.85,7.9,0.358
Katingan,2020,93.16,68.68,8297.24,4.79,8.3,0.386
Pulang Pisau,2020,97.62,68.45,5588.53,4.09,9.65,0.394
Gunung Mas,2020,101.81,70.81,6275.04,4.75,5.6,0.461
Barito Timur,2020,96.09,71.39,7103.69,6.09,12.35,0.31
Murung Raya,2020,108.02,67.98,7762.81,5.85,9.59,0.528
Kota Palangka Raya,2020,97.6,80.77,18277.2,3.44,8.85,0.282
Tanah Laut,2020,94.34,69.38,13786.69,4.26,2.5,0.38
Kotabaru,2020,98.09,68.86,23957.05,4.22,2.1,0.403
Banjar,2020,102.69,69.18,16527.38,2.55,3.17,0.293
Barito Kuala,2020,102.44,66.22,8710.47,4.51,4.25,0.308
Tapin,2020,96.93,70.11,8393.89,3.06,2.81,0.422
Hulu Sungai Selatan,2020,102.28,68.85,6564.93,5.17,3.94,0.33
Hulu Sungai Tengah,2020,101.74,68.84,7052.35,5.64,4.64,0.285
Hulu Sungai Utara,2020,100.2,65.59,4968.81,6.14,3.87,0.299
Tabalong,2020,104.17,72.19,17742.46,5.72,2.05,0.305
Tanah Bumbu,2020,94.71,70.71,19899.65,4.6,1.81,0.353
Balangan,2020,105.71,68.82,10722.3,5.32,3.45,0.354
Kota Banjarmasin,2020,101.39,77.1,32727.17,4.39,1.5,0.274
Kota Banjar Baru,2020,100.2,79.1,9538.46,4.01,1.4,0.204
Paser,2020,105.04,72.04,43234.51,9.23,11.64,0.292
Kutai Barat,2020,111.62,71.19,27169.27,9.29,11.17,0.433
Kutai Kartanegara,2020,109.18,73.59,149045.2,7.31,11.14,0.326
Kutai Timur,2020,109.67,73.0,115555.66,9.55,9.24,0.364
Berau,2020,103.98,74.71,35450.85,5.19,5.14,0.34
Penajam Paser Utara,2020,105.92,71.41,9050.58,7.36,11.58,0.337
Mahakam Ulu,2020,143.93,67.09,2765.99,11.44,8.2,0.355
Kota Balikpapan,2020,103.71,80.01,103918.75,2.57,5.9,0.164
Kota Samarinda,2020,102.23,80.11,66526.91,4.76,6.29,0.161
Kota Bontang,2020,106.83,80.02,55664.04,4.38,5.21,0.2
Malinau,2020,104.06,71.94,11155.87,6.63,10.73,0.39
Bulungan,2020,106.68,71.1,18736.57,9.06,10.77,0.336
Tana Tidung,2020,108.42,66.97,5873.23,4.81,10.92,0.277
Nunukan,2020,124.45,65.79,26300.56,6.36,15.42,0.343
