kabupaten,tahun,Indeks Kemahalan Konstruksi Kabupaten/Kota
Mahakam Ulu,2021,136.9
Kota Balikpapan,2021,104.41
Kota Samarinda,2021,104.32
Kota Bontang,2021,106.13
Malinau,2021,100.28
Bulungan,2021,103.03
Tana Tidung,2021,104.13
Nunukan,2021,117.14
Kota Tarakan,2021,106.19
Bolaang Mongondow,2021,97.34
Minahasa,2021,102.26
Kepulauan Sangihe,2021,116.34
Kepulauan Talaud,2021,131.52
Minahasa Selatan,2021,99.65
Minahasa Utara,2021,103.83
Bolaang Mongondow Utara,2021,92.99
Siau Tagulandang Biaro,2021,116.6
Minahasa Tenggara,2021,97.78
Bolaang Mongondow Selatan,2021,98.76
Bolaang Mongondow Timur,2021,103.83
Kota Manado,2021,110.89
Kota Bitung,2021,99.09
Kota Tomohon,2021,101.01
Kota Kotamobagu,2021,100.79
Banggai Kepulauan,2021,97.27
Banggai,2021,95.64
Morowali,2021,92.67
Poso,2021,88.74
Donggala,2021,86.54
Toli-Toli,2021,90.38
Buol,2021,90.8
Parigi Moutong,2021,84.69
Tojo Una-Una,2021,88.94
Sigi,2021,81.71
Banggai Laut,2021,105.13
Morowali Utara,2021,95.7
Kota Palu,2021,81.17
Kepulauan Selayar,2021,104.21
Bulukumba,2021,93.87
Bantaeng,2021,91.4
Jeneponto,2021,96.49
Takalar,2021,89.07
Gowa,2021,93.12
Sinjai,2021,88.71
Maros,2021,90.76
Pangkajene dan Kepulauan,2021,93.06
Barru,2021,89.74
Bone,2021,95.2
Soppeng,2021,94.44
Wajo,2021,101.61
Sidenreng Rappang,2021,95.38
Pinrang,2021,90.83
Enrekang,2021,100.79
