kabupaten,tahun,PDRB
Kayong Utara,2021,4534.09
Kubu Raya,2021,31227.44
Kota Pontianak,2021,40202.36
Kota Singkawang,2021,10877.85
Kotawaringin Barat,2021,23708.75
Kotawaringin Timur,2021,29678.17
Kapuas,2021,18695.94
Barito Selatan,2021,6681.13
Barito Utara,2021,10565.23
Sukamara,2021,4943.67
Lamandau,2021,6566.59
Seruyan,2021,9890.07
Katingan,2021,9040.86
Pulang Pisau,2021,5969.7
Gunung Mas,2021,7173.23
Barito Timur,2021,7949.95
Murung Raya,2021,8917.59
Kota Palangka Raya,2021,19649.17
Tanah Laut,2021,15332.87
Kotabaru,2021,26492.46
Banjar,2021,17934.87
Barito Kuala,2021,9174.92
Tapin,2021,9387.41
Hulu Sungai Selatan,2021,7125.71
Hulu Sungai Tengah,2021,7393.86
Hulu Sungai Utara,2021,5253.45
Tabalong,2021,19939.94
Tanah Bumbu,2021,22664.05
Balangan,2021,12361.61
Kota Banjarmasin,2021,34596.06
Kota Banjar Baru,2021,10003.08
Paser,2021,53888.95
Kutai Barat,2021,32093.14
Kutai Kartanegara,2021,177416.58
Kutai Timur,2021,136617.57
Berau,2021,43036.48
Penajam Paser Utara,2021,10089.91
Mahakam Ulu,2021,2972.87
Kota Balikpapan,2021,111400.69
Kota Samarinda,2021,71170.55
Kota Bontang,2021,57948.13
